Title,Year,Genre,Rating,Duration,Description,Stars,Directors
Vestiges,,"Crime, Drama, Mystery",,,A young writer embarks on a journey that uncovers shocking truth behind her family history and heart transplant.,[],[]
Seikat Jiwa,2018,"Short, Family",,6,"Christopher has few desires that are difficult for people to understand. He has Asperger's syndrome which makes him different from other children. One day, Chris saw something interesting about children going to school.","['Albert Alessandro', 'Liz Besoes', 'Acha Khalida', 'Lana Nurino Panuju']",['Annisa Adjam']
A Boring Couple Conversation,2019,Short,,,Add a Plot,"['Serly Ardiana', 'Galih Rama']",['Hafidz Nur Rahmadi']
Letnan Harahap,1977,Drama,,,Add a Plot,"['Darussalam', 'Dhanan Djaya', 'Usman Effendy', 'Dewi Idrawati']",['Sophan Sophiaan']
Penetralia Dance - Unity In Diversity,2018,"Short, Drama",,6,A story of a dance leader's team that faces a big problem to be united in diversity.,"['Thia Agustin', 'Angel', 'David Awe', 'Nathania Edlin']",['William Sanjaya']
Lily van Java,1928,Drama,,,Add a Plot,"['Lie Lian Hoa', 'Lie Bouw Tan', 'Kwee Tiang An', 'Yah Kwee Pang']",['Nelson Wong']
Langit Tak Berwujud,2013,"Short, Action, Fantasy",,,Some war machine entering the ozone destroys everything that is seen. So they recorded at the beginning of the massacre.,"['Yahdi Kumala', 'Genta Mawardi Putra', 'Fitra Hernanda Syahda']",['Yahdi Kumala']
Keanu Sumawinata Talks,2020– ,"Comedy, Music, Talk-Show",8.0,30,"Keanu Sumawinata Talks is a variety talk show hosted by 14-year old Keanu Sumawinata, where he talks with an eclectic mix of guests about all the exciting things in entertainment, business, music, and more.","['Keanu Sumawinata', 'Handoko Hendroyono', 'Citra Kirana', 'Samantha Barbara']",[]
Terang bulan di tengah hari,1988,Drama,,104,Add a Plot,"['Sys Ns', 'Zoraya Perucha', 'Nindy Ellesse', 'Shakti Harimukti']",['Chaerul Umam']
Senjang,2019,Short,,11,"When life becomes only black and white, some people will be bored with life. What would happened if someone choose to not being monochrome anymore?","['Gabriel Alexander', 'Michael Axel Suwito']",['Niken Nabrita']
Bangkitnya Suster Gepeng,2012,Horror,4.2,77,Add a Plot,"['Jenny Cortez', 'Roro Fitria', 'Shiddiq Kamidi', 'Baby Margaretha']",['K. Team']
"Love, Dandelion",2016,"Short, Drama, Romance",,21,Add a Plot,"['Febiola Novita', 'Ciccio Manassero', 'Kevin Hendrawan', 'Gritte Agatha']",['Gritte Agatha']
Malam,2013,"Short, Horror",,8,Add a Plot,"['Hanan Cinthya', 'Riris Marpaung', 'Sekar Rarasati']",['Dira Nararyya']
The Afterlife Club,,"Short, Drama",,13,"A stranger walks into a club, he encounters two other strangers and a dungeon master who invites them all to play a sinister Tabletop RPG game.","['Elijah Maleachi', 'Larissa Aurelia', 'Raihan Prabowo', 'Nadine Adyla']",['Julio Rionaldo']
"Kumohon, Cintailah Aku!",2010,"Animation, Short",,,Add a Plot,[],[]
Hafiz & Friends Recap S3,2016,"Documentary, Short",,7,Add a Plot,"['Meccalino Adjie', 'Dellastri Agoesra', 'Faisal Azzam', 'Bima Fayana']",['Muhammad Hafiz']
Video Campaign for UNICEF,2015 Video,"Animation, Short",,,Add a Plot,[],[]
Haru Biru,2015,"Short, Action, Biography",7.4,19,Welcome back to the unforgettable war after independence.,"['Ditha Ainun', 'Coni Anggie', 'Almizan Aryanto', 'Adam Bagas']",['Herlambang Hashemi']
Asal Tahu Saja,1984,Comedy,,85,"Gondosasmito family has a driver named Benny, while Drajat family employs a baby sitter named Kristina. Both employers become the target of Benny and Kristina who are in love. Benny claims ...                See full summary »","['Eva Arnaz', 'Benyamin S.', 'Lies Saodah', 'S. Darto']",['Nawi Ismail']
Liku-liku panasnya cinta,1976,Drama,,96,Add a Plot,"['Robby Sugara', 'Farouk Afero', 'Ully Artha', 'Hendra Cipta']",['Turino Junaidy']
The Mother's Land,I) (2020,"Short, Fantasy",,,A tale of man who tries to captivate the motherland to find answer in the middle of chaos and despair.,"['Mikael Farady', 'Sifra Magdalena']",['Kevin Rahardjo']
Perempuan,2018,"Documentary, Short",,8,Add a Plot,[],[]
Ouw Peh Tjoa,1934,Fantasy,,,Add a Plot,[],[]
Tauhid,1964,Drama,,,Add a Plot,"['Rd. Mochtar', 'Aedy Moward', 'Ismed M. Noor', 'Mansjur Sjah']",['Asrul Sani']
Denyut,2022,"Short, Drama, Mystery",,16,"Aura and Jiwa, two popular vloggers, got lost in a mysterious forest and try to survive without communication technology.","['Agnes Naomi', 'Daffa Wardhana']",['Ragiel Miftach']
Jalan membara,1994– ,"Action, Drama",,60,Add a Plot,"['Bucek Depp', 'Rahayu Effendi', 'Robert Syarif', 'Dede Yusuf']",[]
Tinuk,2015,"Short, Drama",,15,"TINUK (27) wants to have HP. Every day she always persuades her husband, WAHONO (31) to borrow parking deposit money. MASKUR (28) comes to TINUK's house every day, persuading him to buy a cellphone","['Novan Tri Sumahadi Putra', 'Ratih Cahyaning Tyastuti', 'Leo Zaini']",['Aprilingga Dani']
Terang Malam,2014– ,Sci-Fi,,,"A vlogger named Key received a mysterious video of a recent alien abduction from an unknown source. When the video was traced back to her, Key ended up abducted as well, leaving behind a ...                See full summary »","['Naya Anindita', 'Ananda Moechtar', 'Indra Birowo', 'Ernest Samudera']",[]
Scapegoat,III) (2022,"Short, Drama",,23,"Rika is an 18-years-old student who got raped by a police officer's brother, Dimas. Her mom, and Dimas's family, tried to solve the case by marrying her to the rapist without getting any chance of justice.","['Mustika', 'Andika Pratama', 'Dovi Putra']",['Aldis Elwan']
Introvert,2017,"Short, Thriller",,,A lonely introvert girl has been chained from mysterious man who have no idea what her become.,"['Uyun Amalia', 'Dimas Febrian', 'Faris Wildani']",['Herlambang Hashemi']
Message from the stern deck,2017,"Documentary, Short, Adventure",,18,The traditional voyages toward 16 islands in East Indonesia.,[],[]
Baliwood: International Web Conference of Film Village,2020 TV Special,News,,,Add a Plot,"['Andrew Dasz', 'Steven Dasz']",[]
A moment before eternal slumbers,2018,Short,,,Add a Plot,[],[]
Menggayut Harapan Ditengah Pengucilan,2010 Video,"Documentary, Short, Biography",,28,"Isolation and poverty are what awaits those who have leprosy, the historic forced sending of sufferers to far away places, far from other communities, families and employment opportunities....                See full summary »",['Lalang Wardoyo'],['Erik Lofting']
Nationalist Paralysis,2018,"Short, Action, Drama",,5,Add a Plot,"['Bayu Putra', 'Vivian Tania', 'Dio Winata']",['William Sanjaya']
"Mama, Aku Harus Pergi",2011,Drama,,,Add a Plot,"['Virda Anggraini', 'Andi Delfiola', 'Kian Kuspratomo', 'Michele Liong']",['Natasha Dematra']
Amak,2017,"Short, Drama",,,"the anxiety of the Minang parents when their daughters also go abroad, then no one will take care of the family heirlooms.","['Deswita', 'Yuniarni', 'Ami Tri Sayuti', 'Uni Leni']",['Ella Angel']
Teruna djenaka,1960,,,,Add a Plot,"['S. Bagio', 'Mang Topo']",['Liliek Sudjio']
The Call of the Crater,2015,"Documentary, Short",,30,Harmonies between Culture and Religion,[],[]
Suromenggolo,1991,,,,Add a Plot,"['Yan Bastian', 'Chairil J.M.', 'Kitty Kartino', 'Fendy Pradana']",['Dasri Jacob']
Jumpa,2022 Video,"Short, Romance",,,Add a Plot,"['Omara N. Esteghlal', 'Maizura', 'Sarra Tobing']",['Andrew Kose']
Idola remaja,1985,Drama,,83,Add a Plot,"['Chicha Koeswoyo', 'Rico Tampatty', 'Zainal Abidin', 'A. Khalik Noor Nasution']",['Maman Firmansyah']
Errorist of Seasons,2017,"Short, Comedy, Drama",,27,"Being fired from his job, Pulung follows his friend's advice to invest his compensatory dismissal to start a new business: inflatable boat rentals. They have planned to use the 'annual ...                See full summary »","['Dipta Diwangkara', 'Lukas Prayogi Octavianus', 'Dana Wardhana']",['Rein Maychaelson']
Hanya Karena,2018,"Short, Drama",,5,"tells about human life in modern times, where humans only live in a small box",[],[]
Satria desa,1952,,,,Add a Plot,"['S. Bono', 'Sjamsu', 'Titien Sumarni', 'S. Taharnunu']",['Hu']
Heaven Is Not a Place,2015,"Short, Drama",,18,"A woman, working as a tour guide, wants to forget about her recent lost of her mother by visiting a forgotten island with a stranger.","['Azmi Johnny', 'Ssam Seonkyu Park', 'Casssandra Wong']",['Adriyanto Dewo']
Lagu kenangan,1953,,,,Add a Plot,"['A.N. Alcaff', 'M. Budhrasa', 'Sjamsu', 'Mien Sondakh']",['L. Inata']
Bising: Noise & Experimental Music in Indonesia,2014,Documentary,7.3,67,"Indonesian noise, the largest scene of extreme and independent music scene is the biggest in South-East Asia. This documentary gives an extensive overview with numerous bands, artists and ...                See full summary »",[],[]
Sanctuary (Serenity Cut),2020,"Short, Drama, Fantasy",,6,The tale of the Two Sisters struggling to survive at their apartment in the midst of COVID-19 Global Pandemic as they soon enough they accepting their fate when reality hits them viciously.,"['Ischa Sargita', 'Hanna Fadhillah', 'Wisnu Heru Luhur', 'Nier Castielroy']",['Nier Castielroy']
Tanpabatas Vol 2,2014 TV Movie,Comedy,,83,Add a Plot,['Sammy Notaslimboy'],['Sammy Notaslimboy']
Tari Kejang Muda Mudi,1985,Musical,,,Add a Plot,"['Bobby Alatas', 'Arina Anzanum', 'Didi Dirgantara', 'Rifky Gunawan']",['Sharieffudin']
Yana Ngoba,2017 TV Movie,Documentary,,,Add a Plot,[],[]
Tak Sempurna,2013,"Action, Comedy, Drama",7.9,86,Add a Plot,"['Dallas Pratama', 'Tya Arifin', 'Norman R. Akyuwen', 'Iwa K.']",['Herman Panca']
The Lightdancer,2017,"Short, Fantasy, Thriller",,17,A young miner girl begs for her father's help so she can perform a forbidden light-dance to resurrect an ancient entity before the villagers come to stop them.,[],[]
"Anak Sabiran, Di Balik Cahaya Gemerlapan: Sang Arsip",2013,Documentary,7.0,155,"A tribute to Indonesian legend Haji Misbach Yusa Biran, BEHIND THE FLICKERING LIGHT (THE ARCHIVE) traces the personal life of the famous archivist, who founded Southeast Asia's first film ...                See full summary »",[],[]
Cemburu nih yee...,1986,Drama,,104,Add a Plot,"['Alwi A.S.', 'Zainal Abidin', 'Nurmaini Besly', 'Septian Dwi Cahyo']",['Ali Shahab']
The Warm Blood of A Dying Man,2022,"Short, Drama",,12,"No one knows how an apocalypse began. A mysterious plague that killed millions of human lives and yet it is known only cigarettes can be the cure. In the midst of all that, Walter (19), a ...                See full summary »","['Akbar Maulana', 'Benny Susanto']",['Jason Ezra Maail']
Blocks,I,"Action, Fantasy, Sci-Fi",,,A junior miner from two galaxies away is dragged through the cosmos by celestial forces hell bent on finding their oasis in the stars. The young slave crash lands on a dying Earth with technology that could kill off or save what's left.,[],[]
My Dear Spectre,2021,"Short, Romance",,6,"When a woman gets home at night after a hard day's work, a spectre of someone from her past suddenly appears to haunt her every footstep.","['Tamara Putri', 'Julio Rionaldo']",['Kiky Ramadhan']
YouTube Rewind Indonesia 2018: Rise,2018 Video,"Short, Comedy, Music",,9,Add a Plot,"['Atta Halilintar', 'Prabowo Mondardo', 'Raffi Ahmad', 'Nagita Slavina']","['Ericko Lim', 'Torrikabe']"
Ambyar,2015,"Short, Comedy",,30,Add a Plot,"['Pamela Ingrida', 'Bani Nasution']",['Jeihan Angga']
Layu sebelum berkembang,2014,Documentary,,89,"An observational documentary about the end of childhood, describing how young Muslim girls grow up in Indonesia 's middle class of today. The film portrays two families during a decisive ...                See full summary »",[],[]
Exodus: Wanita yang berlari,2003,"Short, Drama",,30,Add a Plot,"['Tuti Alwi', 'Kiki', 'Nungki Kusumastuti', 'Syahrial']",['Sherman Ong']
Once Upon a Time in Chinatown,II) (2021– ,Documentary,,,Add a Plot,"['Lie Tek Kwie', 'Zack Lee', 'Tirta Lie']",[]
Detik Dan Waktu (Selepas Pandemi),2022,"Documentary, Short",,,Add a Plot,['Abraham Abdiel Arya Putra Yudianto'],[]
Ach yang Benerrr...,1979,Drama,,,Add a Plot,"['Herry Irama', 'Diana Yusuf', 'Kardjo Ac-Dc', 'Farouk Afero']",['Muchlis Raya']
Rembulan di ujung dahan,2002 TV Movie,Drama,,90,Add a Plot,"['Anton Mirzaputra', 'Ira Wibowo', 'Rara Wiritanaya']",['Garin Nugroho']
Ang Hai Djie,1935,,,,Add a Plot,[],[]
The Crown Jewel of Indonesia,1999 Video,"Action, Adventure, Comedy",7.1,85,William Douglas Me reports to his psychiatrist a strange story while reporting on his various physical ailments. Mr. Me went on a trip to Indonesia and picked up a valuable crown jewel at a...                See full summary »,"['Bill Reeves', 'Vandoor', 'Gary Harrison', 'Harlini Reeves']",['Bill Reeves']
Time for Poetry to Shine,2018,"Short, Drama",,23,"Jyoti is exiled by her father who thinks that Jyoti is weird and possessed by demons. One day, Sun comes and Saves Jyoti. When Sun suddenly disappears, Jyoti is wandering through the city, looking for freedom.",[],[]
Janji sarinah,1976,Drama,,111,Add a Plot,"['Lenny Marlina', 'Pitradjaya Burnama', 'Hamidy T. Djamil', 'Fadly']",['Arizal']
Fadjar Menjingsing Dipermukaan Laut,1966,Drama,,,Add a Plot,"['Rahayu Effendi', 'Mansjur Sjah']",['Asrul Sani']
Dare to Dress,2014,Documentary,,,Living as transvestites (waria) in Indonesia in the face of strong social prejudice and discrimination against them.,"['Aan Andini', 'Dian', 'Intan', 'Yulianus Rettoblaut']",['Djonny Chen']
Blue Light,II) (2021 Video,"Short, Drama",,,"Zahra decides to leave her relationship with Adit, because she is no longer comfortable with the unclear relationship. This is a prequel story of the miniseries ""Kisah Cinta dalam 3 Babak"" ...                See full summary »","['Ghina Emyralda', 'Muhammad Aditya Saputra']",['Muhammad Aditya Saputra']
Bawa Aku Pulang,2021,"Short, Horror",,13,"On the way home at night, a woman met a girl on the river bridge who asked her to take her home.","['Alifa Lubis', 'Dina Amalina', 'Dhea Siregar', 'Vicky Marpaung']",['Alifa Lubis']
Bobby,1974,,,,Add a Plot,"['Juni Arcan', 'Chitra Dewi', 'Agus Erwin', 'Roy Marten']",['Fritz G. Schadt']
TV Commercial for CIMB Niaga 3D Secure Debit Card,2015 Video,Short,,,Add a Plot,[],[]
Eclipse,II) (2010,"Short, Drama, Fantasy",,3,"Have you ever looked up into the night sky and wondered what happens when the moon is swallowed by darkness? This is the story of Dewi Ratih, the moon goddess, and her demon nemesis.","['Rio Helmi', 'Soma Helmi']","['Soma Helmi', 'Mila Shwaiko']"
Buah Hati Mama,1980,Drama,,,Add a Plot,"['Ryan Hidayat', 'Ade Irawan', 'Puput Novel', 'Nyonyo Shabir']",['Sophan Sophiaan']
Balancing the Waters,2018,"Documentary, Short",,28,"Since the development of the ""Subak"" irrigation system in the 9th century, Bali has enjoyed a unique harmony between its human inhabitants and mother nature largely based on the balance of ...                See full summary »",[],[]
Semua Pergi,2021,"Short, Drama",,,Add a Plot,[],[]
Little Mouse Deer,2003 Video,"Animation, Short, Comedy",,36,"Tiger Bram, king of the jungle, is looking to get even with the little mouse deer, having been tricked one too many times. Poor little mouse deer; not only is Tiger Bram after her but the ...                See full summary »","['Siwi', 'Bonar', 'Eboy', 'Yosep']",['Hariyanto']
A Very Boring Conversation,2006,Short,6.4,9,"A conversation that starts with music and emails, and ends up possibly changing the relationship between the two people from ""mother-son"" to ""woman-man""","['Tutie Kirana', 'Wahu Yuyu']",['Edwin']
Soleram,2011,Short,,15,"A man discovered a child who was abandoned on a small carousel and hesitant to come down. With encouragement from his wife, the man decides to adopt the child.","['Ence Bagus', 'Lilis Ireng']",['Tumpal Tampubolon']
Lights Out!,2022,"Animation, Short",9.4,5,Tomorrow is Cody's birthday and Chloe prepares a drawing to surprise her brother. The lantern that she uses for obtaining light suddenly blows out.,"['Joseph Cotham', 'Malika Sandhuoxf']","['Rakha Adhyasta Pradana', 'Mikhael Alessandro']"
Atma De Vischer,1931,"Documentary, Short",,,This documentary film describes the journey of Queen Olanda and King Hertog in the city of Den Hagg.,[],[]
Rendang of Death,2021,"Animation, Short",5.5,7,"In a quaint Padang restaurant, two bros put their friendship to the test when it turns out that there's only a single plate of their favorite food left.","['Unit Satuan Bengkel', ""Alva 'Dom' Delanova"", 'PS Jati', 'Angelica Kosasih']",['Percolate Galactic']
The Curse House,,"Horror, Mystery, Thriller",,,Add a Plot,[],[]
Youtube Rewind Minecraft Animation Indonesia: Darkness,2019,"Animation, Short, Action",,13,"Herobrine steals the rewind block, now the four boys (and some others) have to get it back before it's too late.","['Nelson Wijaya Putra', 'Yudha Putra', 'Adiy Irfan', 'Brian Nurken']",['Faris Sayyaf']
Anomaly,II) (2022,"Short, Action",,12,Add a Plot,"['Salvita Decorte', 'Mike Lewis', 'Joseph J.U. Taylor']",['Brian L. Tan']
Domesticated,I) (2022– ,Comedy,,,"The show revolves around six anthropomorphic house pets, a dog, two cats, a rabbit, a turtle, and a hamster, and their 7-year-old twin owners, Alex and Patricia, going on shenanigans around...                See full summary »",[],[]
Rindu purnama,2011,Drama,,106,Add a Plot,"['Titi Rajo Bintang', 'Pitradjaya Burnama', 'Edwin', 'Ririn Ekawati']",['Mathias Muchus']
Pocong Jalan Blora,2009,Horror,3.7,80,Add a Plot,"['Abdurrahman Arif', 'Arumy Bachsin', 'Fikri Baladraf', 'Ridwan Ghany']",['Nayato Fio Nuala']
Rabiah & Mimi,2020,"Documentary, Short",,25,Add a Plot,"['Mimi', 'Rabiah']",['Arfan Sabran']
Bali,2020 Video,"Short, Adventure",,,Add a Plot,[],[]
Mentari Dari Kurau,2014,Drama,,,Add a Plot,"['Eksanti', 'Nanda Mentari', 'Sonita Novrianti', 'Johan Morgan Purba']",['Revo Rurut']
"Nawacita, Dukacita dan Dusta",2016,"Short, Documentary",,5,"July 27, 2016, General (Retired) Wiranto was appointed as Coordinating Minister for Politics, Legal and Security affairs by President Jokowi. Is Wiranto able to solve cases of gross human ...                See full summary »",[],[]
On Mother's Head,2013,Documentary,,94,"An unvarnished depiction of how harsh country life is on Bali. This documentary does not show the white beaches from the tourist brochures, but the troubles and drudgery that usually remain hidden from outsiders.","['Ketut Norsy', 'Me Sari']",['Putu Kusuma Wijaja']
7 days in a Baik thongs,2011,"Documentary, Short",,,Add a Plot,[],[]
A Sleep,2022,"Short, Drama",,7,A film student just finished his experimental short film project. But he's in doubt. So he ask his friend to give an opinion about it.,['Ahmad Fajar'],['Ahmad Fajar']
Krisis X,1975,,,98,Add a Plot,"['Farouk Afero', 'Bambang Hermanto', 'Lenny Marlina', 'Mansjur Sjah']",['Turino Junaidy']
Fasad,2022,"Short, Drama",,,Add a Plot,"['Meira Muzarisa Hanum', 'Ray Shidiq']",['Dessy Oct']
Tjiandjoer,1938,Drama,,,Add a Plot,"['Bissu', 'Lo Tjin Nio']",['The Tang Chun']
Udjang,2019,"Short, Drama",,7,Add a Plot,"['Diandra Ihsan', 'Adinda Zahra Kusuma', 'Zahran Rakkan', 'Samuel Sambera']",['Muhammad Fauzi Azhar']
Si Pintjang,1952,"Drama, War",,110,"During Indonesia's struggle for liberation from the Dutch, a child is crippled by the colonialist air bombardment and turns to begging on the streets of Jakarta.Can he be re-educated into a better life?",[],[]
Kekasihku ibuku,1971,,,87,Add a Plot,"['Rima Melati', 'Rahmat Kartolo', 'Farouk Afero', 'Mona Kwok']",['Turino Junaidy']
Bura,2019,Short,5.8,12,"In the early stages of the political transition in 1998, rumours of black-clad ninjas terrorises the Tapal Kuda region of East Java. These ninjas come out during the night targeting Koran ...                See full summary »","['Elang El Gibran', 'Ersya Ruswandono']",['Eden Junjung']
Smoking Quitter,2021,Short,,2,"A story about obesity smoking addict are trying to stop the bad habit completely, but still got the coolness vibes in his life. Just one day.",['Samuel Montezuma'],['Revo Marty']
Soar,2019,Short,,,Add a Plot,"['Madison Martin', 'Costa Nicholas']",['Daniel Ongko']
Muaro Batang Arau,2022,Short,,30,The history of the existence of the Balanse Madam Dance from the presence of the Portuguese on the west coast of the island of Sumatra. So that gave birth to a cultural acculturation called the Balanse Madam dance.,"['Gusti Asnan', 'Tawanto Karim']",['Farhan Siddiq']
"Si Boneka Kayu, Pinokio",1979,"Comedy, Drama, Musical",6.9,93,Add a Plot,"['Iskak', 'Ateng', 'Bobby Alatas', 'Soes D.A.']",['Willy Wilianto']
Kerasukan,2013,Horror,,83,Add a Plot,"['Arumy Bachsin', 'Kimmy Geovanni', 'Jessica Marlene', 'Angelica Simperler']","['Chiska Doppert', 'Nayato Fio Nuala']"
D'Girlz Begins,2006,,,,Add a Plot,"['Andhika', 'Meriam Bellina', 'Dhena', 'Disa']",['Tengku Firmansyah']
Nila di gaun putih,1981,Drama,,,Add a Plot,"['Sofia W.D.', 'Marini', 'Robby Sugara', 'Pitradjaya Burnama']",['Sandy Suwardi Hasan']
Bodog and Darpig: Life Ghost,2021 TV Special,"Action, Horror, Mystery",,74,"Tonight, the house will lights off. Some several of the ghosts he had seen, after the mystery of the ghost bag caused Frisian to die from being hit by a stone.",['Rodza Akbar Sholihin'],['Rodza Akbar Sholihin']
Monita Tahalea: Sayonara,2021 Video,"Short, Musical",,,Add a Plot,['Monita Tahalea'],['Eugene Panji']
Fun Cooking,2012– ,,,30,Add a Plot,['Hiromitsu Harada'],[]
1 Year Traveling Indonesia in 4 Minutes,2009,"Documentary, Short, Adventure",,5,"As a poetic documentary that is short in length, 1 Year is explained only as scenes of a different world flashing before the viewer's eyes. A 4 minute tour of an archipelago of 14,000 ...                See full summary »",[],[]
Api dibukit menorah,1971,,,,Add a Plot,"['Nuniek Gunadi', 'Husin Lubis', 'Moh Mochtar', 'W.D. Mochtar']",['D. Djajakusuma']
Sedeng Sang,2016,"Short, Drama",,20,Add a Plot,"['Be Get', 'Khairul Adha', 'Septi Marleni', 'Mario Tekham']",['M. Reza Fahriyansyah']
Pengorbanan,1974,Drama,,107,Add a Plot,"['Fadly', 'Lenny Marlina', 'Anna Mathovani', 'W.D. Mochtar']",['Susilo S.W.D.']
Bot... Parabot,2008,"Documentary, Short",,7,Add a Plot,[],[]
Ayudia dan Jalan Pulangnya,2021,Drama,,,Add a Plot,"['Humaidi Abas', 'Attaya Khashaish Argarofa', 'Adzkia Hijriah Ayuandira', 'Silvi Eliana']",['Rizqon Agustia Fahsa']
The God Babe,2010,Comedy,5.0,,Add a Plot,"['Mike Lewis', 'Jaja Mihardja', 'Tyas Mirasih', 'Vincent Ryan Rompies']",['Arie Azis']
A Dinner with Astronaut,2016,"Short, Comedy",,6,"On an ordinary Christmas Eve, in an ordinary house, an ordinary family is having dinner. Out of the blue, a big rocket lands on their house. They find an Astronaut and invite him for dinner.","['Dipta Diwangkara', 'Erik Marcel']",['Rein Maychaelson']
Ivy's World,2020,"Short, Mystery",,5,Ivy the girl who enters an imaginative world,"['Miky Havis', 'Anita Permata Hutagalung', 'Zaidan Bin Madi', 'Amadea Nalini']",['Ricky Aqsa Vernanda']
Asian Idol,2007– ,"Music, Reality-TV",,,Add a Plot,"['Jaclyn Victor', 'Mike Mohede', 'Phuong Vy', 'Mau Marcelo']",[]
Metamorcactus,2022,"Short, Drama",,13,A lonely guy living his life with a cactus,"['Adinegoro Natsir', 'Tamara Ana Gunawan', 'Madeline Sinto']",['Raul Abraham']
Sebentar Saja,2017,"Short, Drama",,7,"Kirana has not communicated with her mother at all since her father died. They only communicate through the post it which is attached to the post it. In today, Kirana tries to fix everything.","['Nadia Soekarno', 'Pipien Putri']",['Gritte Agatha']
Indonesia berbisik,1995 TV Movie,,,,Add a Plot,"['Alex Komang', 'Bemby Indra Kusuma']",['Teguh Karya']
Despair,2016,"Short, Drama",,14,The stories is about Hadi a graphic designer troubled from some life problems. In the middle of all that there is a figure who is always commenting badly and judging him. Evidently there is...                See full summary »,[],[]
Downtown,II) (2016,"Documentary, Short, Drama",,3,"This film shows a little phenomenon of transgender in Jakarta. Based on data, population of transgender in Indonesia is about 7 millions. It grew about 1.650% only in eight years!",[],[]
Pasar Senggol Damai,,Sci-Fi,,,Add a Plot,"['Sano', 'Eben Sihaloho', 'Ananta Yudha', 'Putu Arya']",['Ananta Yudha']
Pungkasan,2021,"Short, Drama",,5,An aging screenwriter tries to finish his unfinished screenplay that he wrote a long time ago.,"['Faiq', 'Arif Nugroho', 'Markus Suma Wikarta']",['Laurent Sindhu']
Pegawai tinggi,1954,,,,Add a Plot,"['Awaludin', 'Rd. Mochtar', 'Norma Sanger', 'R.A. Setyati']",['Rempo Urip']
Birdsong,III,Drama,,,Add a Plot,[],[]
Phantom Memories (False Memories),2018,"Short, Crime, Drama",,8,"Debra a victim of domestic violence, trying to reconnect with reality as she counsels her abusive relationship in a therapy session, only to found out that she has 'phantom' or 'false' ...                See full summary »",[],[]
Pancasila Dekat Dengan Kita,2018,"Documentary, Short",,,A short-documentary movie (2018) made by young Indonesian new comers in film making for a competition about Pancasila ideology of Unitary Republic of Indonesia.,"['Lifany Husnul Kurnia', 'Kol Mitro Prihantoro', 'Yulis Susilawaty', 'Let Kol Herlina Tarigan']",['Jeanne Françoise']
Pulang,II) (2021,"Short, Drama",,7,Add a Plot,['Ananda Innaka Rahman'],['Aldis Elwan']
Cakar naga,1991,,,,Add a Plot,"['Johny Anwar', 'Dian Damora', 'Dolf Damora', 'Chairil J.M.']",['Bacharoem Halilintar']
Indonesia dalam Slowmotion,2015– ,Short,,,Add a Plot,"['Wowo Watumas Sacawikarta', 'Tatang Kosasih']",[]
What's My Name,2019,"Short, Drama",,7,Add a Plot,"['Salma Rizqi Fadhila', 'Ribka Kathryn', 'Tam Notosusanto', 'Windha Satya']",['Kristikania']
Reconnecting,2022,"Short, Comedy, Drama",,23,Add a Plot,"['Jason Sudarta', 'Lin Neng Yu', 'Clea Alvina', 'Kelly Christabelle']",['Nathanael Tjandra']
Fatima,1938,Drama,,,Add a Plot,"['Kartolo', 'Sapri', 'Habibah', 'Habibah']","['Joshua Wong', 'Othniel Wong']"
Melati Van Agam,1940,Drama,,,Add a Plot,"['S. Soekarti', 'A. Rachman', 'R. Abdullah', 'S. Thalib']",['Tan Tjoei Hock']
Utan Rambutan,2019,"Animation, Short, Adventure",,8,"Utan wants to fly in the sky like a bird, but Utan is only a rambutan fruit stuck in a tree.","['Andra Fembriarto', 'Ari Larinka', 'Grace Tan-Johannes']",['Andra Fembriarto']
Berlabuh (Anchoring),2020,"Short, Drama",,15,a young seaman who is being hit by various problems related to his rights as a worker in a private shipping company,"['Aisah', 'Rijal Bagong', 'Sabila Ilham Bimantara']",['Haris Yuliyanto']
Romi dan Juli,1974,"Drama, Romance",,87,Add a Plot,"['Rano Karno', 'Yessy Gusman', 'Sukarno M. Noor', 'Dicky Zulkarnaen']",['Arifin C. Noer']
Rasa Sementara,2022,"Short, Drama",,,"Telling about Beno (11) with his curiosity he wanted to try cigarettes, but his plan was in vain because his teacher found out.","['Patkay', 'Stephan Rafael']",['Basya Ayyub']
Kuburan Berjalan,2022,"Short, Horror",,30,"Someone has planted a corpse inside your body. In other words, now you have become a walking grave.","['Julfikar Maha Putera', 'Keke Ratnakania', 'Amanda Gondowijoyo', 'Astrid Rahadiani']",['Azzam Fi Rullah']
Sinyo Adi,1977,Comedy,,,Add a Plot,"['Laila Sari', 'Adi Bing Slamet', 'Eddy Sud']",['Liliek Sudjio']
Harta karun,1949,Comedy,,75,Add a Plot,"['R.D. Ismail', 'Hamid Arief', 'Djauhari Effendi', 'Herawati']",['Usmar Ismail']
Jenderal Kancil: The Movie,2012,"Comedy, Drama",4.8,85,Add a Plot,"['Adam Xavier', 'Ersya Aurelia', 'Achmad Albar', 'M. Alief Amalfie']",['Harry Suharyadi']
Bawean Island the hidden Paradise,,"Short, Adventure, Comedy",,18,About the life of a tourist with a tour guide in the natural settings of the beautiful island Bawean.,"['Faisal Adi', 'Syeilla Anindita']","['Dwi Prasetyo', 'Edo Barrudy']"
Pengemis dan Tukang Becak,1978,,6.9,115,Add a Plot,"['Ully Artha', 'Christine Hakim', 'Alan Nuary', 'Lukman Sardi']",['Wim Umboh']
